family	concurrency	phase	arm	rep	ops_per_sec	mib_per_sec	p50_ms	p90_ms	p99_ms	request_errors	case_errors	ops	queue_bytes	error_detail
leaf-misses	32	get-miss	after	1	4129.39	0.59	6.481	11.28	22.73	0	0	768	1073741824	{}
leaf-misses	32	mixed	after	1	774.51	359.11	6.359	50.549	444.04	0	0	768	1073741824	{}
leaf-misses	64	put	after	1	4601.18	2758.0	3.913	5.276	21.293	0	0	1536	1073741824	{}
leaf-misses	64	get	after	1	4062.97	2435.39	0.888	13.845	100.535	0	0	1536	1073741824	{}
leaf-misses	64	head-hit	after	1	19151.34	0.0	0.088	8.702	30.523	0	0	1536	1073741824	{}
leaf-misses	64	head-miss	after	1	3268.87	0.0	13.772	36.498	81.895	0	0	1536	1073741824	{}
leaf-misses	64	get-miss	after	1	2413.49	0.35	25.164	32.893	50.459	0	0	1536	1073741824	{}
leaf-misses	64	mixed	after	1	1210.28	584.02	12.487	132.252	579.358	0	0	1536	1073741824	{}
leaf-misses	128	put	after	1	11192.52	6708.92	9.88	12.886	49.839	0	0	3072	1073741824	{}
leaf-misses	128	get	after	1	1521.2	911.83	6.498	11.782	1002.28	0	0	3072	1073741824	{}
leaf-misses	128	head-hit	after	1	16910.66	0.0	0.079	26.386	72.478	0	0	3072	1073741824	{}
leaf-misses	128	head-miss	after	1	2519.0	0.0	48.935	72.309	102.342	0	0	3072	1073741824	{}
leaf-misses	128	get-miss	after	1	2405.77	0.34	53.61	65.817	82.828	0	0	3072	1073741824	{}
leaf-misses	128	mixed	after	1	858.64	412.07	0.547	196.794	1102.422	0	0	3072	1073741824	{}
leaf-misses	256	put	after	1	9285.54	5565.86	21.817	28.728	127.637	0	0	6144	1073741824	{}
leaf-misses	256	get	after	1	6191.42	3711.2	12.91	31.223	253.789	0	0	6144	1073741824	{}
leaf-misses	256	head-hit	after	1	25889.11	0.0	0.079	38.619	52.275	0	0	6144	1073741824	{}
leaf-misses	256	head-miss	after	1	2480.45	0.0	99.802	122.963	155.677	0	0	6144	1073741824	{}
leaf-misses	256	get-miss	after	1	2438.25	0.35	104.304	119.845	165.437	0	0	6144	1073741824	{}
leaf-misses	256	mixed	after	1	3827.32	1832.15	29.808	132.928	675.842	0	0	6144	1073741824	{}
leaf-misses	1	put	after	2	6330.53	3794.59	0.058	0.317	2.119	0	0	512	1073741824	{}
leaf-misses	1	get	after	2	649.13	389.09	0.622	1.34	9.833	0	0	512	1073741824	{}
leaf-misses	1	head-hit	after	2	1489.26	0.0	0.641	0.716	1.565	0	0	512	1073741824	{}
leaf-misses	1	head-miss	after	2	1060.74	0.0	0.92	1.01	1.125	0	0	512	1073741824	{}
leaf-misses	1	get-miss	after	2	894.78	0.13	1.025	1.216	3.621	0	0	512	1073741824	{}
leaf-misses	1	mixed	after	2	662.12	318.92	0.834	2.01	19.266	0	0	512	1073741824	{}
leaf-misses	8	put	after	2	9244.85	5541.46	0.554	1.946	4.504	0	0	512	1073741824	{}
leaf-misses	8	get	after	2	1777.65	1065.54	0.202	10.181	63.89	0	0	512	1073741824	{}
leaf-misses	8	head-hit	after	2	7639.71	0.0	0.088	1.254	20.447	0	0	512	1073741824	{}
leaf-misses	8	head-miss	after	2	3678.25	0.0	1.395	3.387	19.914	0	0	512	1073741824	{}
leaf-misses	8	get-miss	after	2	3280.11	0.47	1.509	3.368	26.309	0	0	512	1073741824	{}
leaf-misses	8	mixed	after	2	538.54	259.39	2.953	30.436	155.577	0	0	512	1073741824	{}
leaf-misses	32	put	after	2	3078.32	1772.19	1.558	2.599	7.686	0	0	768	1073741824	{}
leaf-misses	32	get	after	2	1430.86	823.74	1.097	3.373	51.527	0	0	768	1073741824	{}
leaf-misses	32	head-hit	after	2	21410.35	0.0	0.085	3.426	29.821	0	0	768	1073741824	{}
leaf-misses	32	head-miss	after	2	2684.8	0.0	11.429	15.537	22.197	0	0	768	1073741824	{}
leaf-misses	32	get-miss	after	2	2530.94	0.36	12.166	17.707	29.71	0	0	768	1073741824	{}
leaf-misses	32	mixed	after	2	498.5	231.14	7.441	93.593	622.751	0	0	768	1073741824	{}
leaf-misses	64	put	after	2	13078.54	7839.42	4.337	5.667	20.319	0	0	1536	1073741824	{}
leaf-misses	64	get	after	2	3557.45	2132.38	0.801	8.819	183.186	0	0	1536	1073741824	{}
leaf-misses	64	head-hit	after	2	16304.1	0.0	0.059	8.015	18.101	0	0	1536	1073741824	{}
leaf-misses	64	head-miss	after	2	2798.47	0.0	22.784	31.115	49.309	0	0	1536	1073741824	{}
leaf-misses	64	get-miss	after	2	2398.33	0.34	17.586	42.667	72.002	0	0	1536	1073741824	{}
leaf-misses	64	mixed	after	2	701.46	338.49	0.258	55.227	1056.086	0	0	1536	1073741824	{}
leaf-misses	128	put	after	2	10903.32	6535.57	9.562	11.464	46.661	0	0	3072	1073741824	{}
leaf-misses	128	get	after	2	3378.29	2024.98	4.89	15.098	706.138	0	0	3072	1073741824	{}
